model,model_role,model_description,group,label,metric,estimate,ci_low,ci_high,unit,small_sample_warning
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,diagnosed,npv,0.9827780908,0.9717683558,0.9928111987,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,hba1c_pos,npv,0.9677057947,0.9567574362,0.9807508155,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,hba1c_pos,npv,0.9677844965,0.9420398763,0.9874340852,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,hba1c_pos,npv,0.9902931653,0.9796811896,1,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,hba1c_pos,npv,0.9707886324,0.9512534796,0.989998195,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,hba1c_pos,npv,0.9628053191,0.9462289344,0.9827290889,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,hba1c_pos,npv,0.9823496943,0.9644885164,1,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,hba1c_pos,npv,0.9790104663,0.9703079177,0.9864865235,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,diagnosed,ppv,0.1668154112,0.1517672602,0.1826234569,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,diagnosed,ppv,0.186762469,0.143745199,0.2391800161,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,diagnosed,ppv,0.2465843374,0.2021524828,0.3132746448,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,diagnosed,ppv,0.2210575508,0.1836568039,0.2534377622,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,diagnosed,ppv,0.144309486,0.1188658985,0.1708087459,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,diagnosed,ppv,0.2106054456,0.167217318,0.2610783822,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,diagnosed,ppv,0.1798601125,0.1136497809,0.2518318631,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,hba1c_pos,ppv,0.1623741038,0.1508582519,0.1739020397,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,hba1c_pos,ppv,0.1707162124,0.1295304295,0.2169013759,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,hba1c_pos,ppv,0.216773908,0.1815992566,0.2661276429,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,hba1c_pos,ppv,0.2024332763,0.1645684042,0.2328057516,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,hba1c_pos,ppv,0.1431017946,0.122177771,0.1635693889,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,hba1c_pos,ppv,0.1778776813,0.1318063246,0.2333155645,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,hba1c_pos,ppv,0.1864833929,0.1115738732,0.2736866448,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,diagnosed,sensitivity,0.7909773368,0.7196852097,0.8696431071,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,diagnosed,sensitivity,0.7389060659,0.6115139756,0.8687605099,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,diagnosed,sensitivity,0.9046019861,0.8409828645,0.9840421819,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,diagnosed,sensitivity,0.7564993084,0.6607567373,0.8716226702,proportion,OK
