model,label,group,respondents,positives,negatives,effective_n_positives,effective_n_negatives,small_n_warning,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high
extended_logistic,diagnosed,Non-Hispanic Black,1312,181,1131,140.92246384845114,874.0634309844907,False,0.8306555031174042,0.7310441358803211,0.909348569465097,0.701556001540319,0.6665015097579253,0.7367531195879813,0.2653554155432712,0.20684719597010012,0.3202789683621074,0.969629695939517,0.9534528007166636,0.9842015232384717
extended_logistic,diagnosed,Mexican American,856,112,744,70.72659750652981,553.9303314309071,False,0.6885811619697328,0.5759025368422513,0.8054452727206898,0.7733568791027648,0.7142930762283177,0.8184514389107289,0.2246385529383394,0.1700667244355911,0.2821686165644302,0.9630232674074335,0.947076887901437,0.9783518388661138
extended_logistic,diagnosed,Other Hispanic,546,74,472,53.36908782768276,344.264801469415,False,0.764672966330598,0.605796836818792,0.8987422595800293,0.7731902781019484,0.7177460918002776,0.8198145198342416,0.22843247846211723,0.1648534536108831,0.2915879243716229,0.9740075134606663,0.955653109108049,0.989216047021098
extended_logistic,diagnosed,Non-Hispanic Asian,796,102,694,88.86867277325152,571.4651977961244,False,0.698094169071737,0.6231200305554985,0.7916318088991982,0.8136970254526583,0.7781004880886008,0.8476367263263823,0.3279391245694353,0.26232527373340064,0.41935487590513393,0.953917848623661,0.9399311994703937,0.9711186711531324
extended_logistic,diagnosed,Other/Multiracial,341,39,302,16.26993925564318,113.24759054762565,True,0.9192958070739234,0.8169808734008649,0.9899675035128263,0.6923145441959054,0.614274006403097,0.8028212457657111,0.2393507309873688,0.14810561276359338,0.3636209585538656,0.9878735406109895,0.9770548890041961,0.9986102797606057
extended_logistic,diagnosed,All groups,5873,711,5162,271.01850179008557,2301.928055442479,False,0.8252473522416739,0.7827047030009874,0.8788537423629237,0.6719519409232029,0.6524082952698578,0.6942581947343469,0.19663880813355086,0.1814457142058968,0.21127742277627098,0.9753251767537738,0.967454145309872,0.9843996537377884
extended_logistic,hba1c_pos,Non-Hispanic White,2022,203,1819,104.60038045158237,1056.792308849588,False,0.8631540776034614,0.7994658328904926,0.966733151026462,0.6098129065587286,0.5772670933396375,0.6420953683697893,0.1656319205389431,0.1412275596863584,0.19173973369003103,0.9803608063500417,0.9676735626273395,0.9962053824911261
extended_logistic,hba1c_pos,Non-Hispanic Black,1312,181,1131,140.92246384845114,874.0634309844907,False,0.831848719949431,0.7371105210519818,0.9078664313109286,0.6748442059786279,0.6441783569262921,0.7042568530288796,0.2497741424717163,0.198028734434649,0.2973904629492376,0.9687174082859634,0.9535602580506415,0.9834034936290148
extended_logistic,hba1c_pos,Mexican American,856,112,744,70.72659750652981,553.9303314309071,False,0.6919614799475017,0.6105304272043699,0.8024237315476737,0.7401597580558305,0.6841181737075708,0.7856151060932115,0.20243830062261617,0.1495270732079239,0.2566531959219941,0.961935991034947,0.9483048290163881,0.9778907003292759
extended_logistic,hba1c_pos,Other Hispanic,546,74,472,53.36908782768276,344.264801469415,False,0.8177832311829907,0.7062756942700642,0.9297464734855838,0.7573124594721522,0.7139354060378847,0.8009622105224491,0.22912647216899548,0.172010324526168,0.28860048317191633,0.9793678393182967,0.9611081298543096,0.9935974935950797
