model,label,group,bin,n,mean_predicted,observed_rate,weighted_n
extended_logistic,hba1c_pos,Non-Hispanic Asian,2,135,0.013606747146474966,0.008349629844655145,2808008.177620789
extended_logistic,hba1c_pos,Non-Hispanic Asian,3,151,0.03017577034319884,0.04275662454503782,2812617.422978501
extended_logistic,hba1c_pos,Non-Hispanic Asian,4,167,0.060958034344837084,0.17797201662924111,2819743.5337386355
extended_logistic,hba1c_pos,Non-Hispanic Asian,5,182,0.17738387507664988,0.34752000517091647,2802533.1012318814
extended_logistic,hba1c_pos,Other/Multiracial,1,92,0.007159854672820337,0.0,2543988.6937301927
extended_logistic,hba1c_pos,Other/Multiracial,2,73,0.020508403380860237,0.0094212685684665,2563795.348304144
extended_logistic,hba1c_pos,Other/Multiracial,3,50,0.05144595658828383,0.015441774547245818,2568879.406434542
extended_logistic,hba1c_pos,Other/Multiracial,4,37,0.09113024566229055,0.09404142193152931,2549935.365010614
extended_logistic,hba1c_pos,Other/Multiracial,5,89,0.21970491417755703,0.36065254316322637,2527583.4748896733
extended_logistic,hba1c_pos,All groups,1,624,0.004813320855154475,0.006166996011829464,25349219.69619529
extended_logistic,hba1c_pos,All groups,2,628,0.009179045286931526,0.005451790820002552,25360315.56639963
extended_logistic,hba1c_pos,All groups,3,561,0.015623660821770973,0.005653041849699339,25377328.09917483
extended_logistic,hba1c_pos,All groups,4,476,0.024702104886866312,0.020982785497720015,25295091.90603914
extended_logistic,hba1c_pos,All groups,5,516,0.038368969775950855,0.0254529549461079,25356980.392960355
extended_logistic,hba1c_pos,All groups,6,551,0.05843888457776503,0.06171660459968837,25388348.925326556
extended_logistic,hba1c_pos,All groups,7,531,0.08647577451246884,0.09825382713465869,25418960.43800001
extended_logistic,hba1c_pos,All groups,8,577,0.1219493249603192,0.13657242236601597,25367867.154470593
extended_logistic,hba1c_pos,All groups,9,680,0.18318716154030498,0.22672138547423554,25275963.41372594
extended_logistic,hba1c_pos,All groups,10,729,0.3432931481682667,0.2998454700488056,25367729.00632136
extended_boosting,diagnosed,Non-Hispanic White,1,395,0.00656169051915372,0.01794724437212395,31125079.80138705
extended_boosting,diagnosed,Non-Hispanic White,2,390,0.01859317497911691,0.011590869538684526,31152661.548461773
extended_boosting,diagnosed,Non-Hispanic White,3,356,0.062452735561884076,0.06794108611429017,31060429.49148203
extended_boosting,diagnosed,Non-Hispanic White,4,387,0.15300818080169323,0.12108990125203775,31136490.022392496
